Number_of_R: 45
Number_of_Wannier_functions: 16
Hamiltonian:  
============================================================
index of R: 0.  R = [-1 -1 -2]
R = [-1 -1 -2], i = 4, j=5 :: H(i,j,R)= -0.0124-0.0072j 
R = [-1 -1 -2], i = 4, j=6 :: H(i,j,R)= 0.0128+0.0015j 
R = [-1 -1 -2], i = 4, j=7 :: H(i,j,R)= 0.0083+0.0049j 
R = [-1 -1 -2], i = 4, j=8 :: H(i,j,R)= 0.0120+0.0049j 
R = [-1 -1 -2], i = 4, j=9 :: H(i,j,R)= 0.0078+0.0018j 
R = [-1 -1 -2], i = 4, j=10 :: H(i,j,R)= 0.0027+0.0130j 
R = [-1 -1 -2], i = 4, j=11 :: H(i,j,R)= 0.0028-0.0111j 
R = [-1 -1 -2], i = 4, j=12 :: H(i,j,R)= 0.0014+0.0000j 
R = [-1 -1 -2], i = 4, j=13 :: H(i,j,R)= -0.0356-0.0013j 
R = [-1 -1 -2], i = 4, j=14 :: H(i,j,R)= 0.0400+0.0009j 
R = [-1 -1 -2], i = 4, j=15 :: H(i,j,R)= 0.0071-0.0021j 
R = [-1 -1 -2], i = 5, j=0 :: H(i,j,R)= -0.0038+0.0033j 
R = [-1 -1 -2], i = 5, j=1 :: H(i,j,R)= 0.0268+0.0012j 
R = [-1 -1 -2], i = 5, j=2 :: H(i,j,R)= -0.0477+0.0086j 
R = [-1 -1 -2], i = 5, j=3 :: H(i,j,R)= 0.0446-0.0103j 
R = [-1 -1 -2], i = 5, j=4 :: H(i,j,R)= -0.0182-0.0071j 
R = [-1 -1 -2], i = 5, j=5 :: H(i,j,R)= -0.0023-0.0079j 
R = [-1 -1 -2], i = 5, j=6 :: H(i,j,R)= 0.0134+0.0026j 
R = [-1 -1 -2], i = 5, j=7 :: H(i,j,R)= 0.0120+0.0049j 
R = [-1 -1 -2], i = 5, j=8 :: H(i,j,R)= 0.0139+0.0043j 
R = [-1 -1 -2], i = 5, j=9 :: H(i,j,R)= 0.0057+0.0024j 
R = [-1 -1 -2], i = 5, j=10 :: H(i,j,R)= -0.0025+0.0133j 
R = [-1 -1 -2], i = 5, j=11 :: H(i,j,R)= 0.0052-0.0119j 
R = [-1 -1 -2], i = 5, j=12 :: H(i,j,R)= 0.0110+0.0002j 
R = [-1 -1 -2], i = 5, j=13 :: H(i,j,R)= -0.0392-0.0005j 
R = [-1 -1 -2], i = 5, j=14 :: H(i,j,R)= 0.0474+0.0000j 
R = [-1 -1 -2], i = 5, j=15 :: H(i,j,R)= -0.0017-0.0028j 
R = [-1 -1 -2], i = 6, j=0 :: H(i,j,R)= -0.0164-0.0028j 
R = [-1 -1 -2], i = 6, j=1 :: H(i,j,R)= -0.0086-0.0081j 
R = [-1 -1 -2], i = 6, j=2 :: H(i,j,R)= 0.0072-0.0063j 
R = [-1 -1 -2], i = 6, j=3 :: H(i,j,R)= -0.0067+0.0041j 
R = [-1 -1 -2], i = 6, j=4 :: H(i,j,R)= -0.0050-0.0031j 
R = [-1 -1 -2], i = 6, j=5 :: H(i,j,R)= -0.0084-0.0039j 
R = [-1 -1 -2], i = 6, j=6 :: H(i,j,R)= -0.0107-0.0028j 
R = [-1 -1 -2], i = 6, j=7 :: H(i,j,R)= 0.0078+0.0018j 
R = [-1 -1 -2], i = 6, j=8 :: H(i,j,R)= 0.0057+0.0024j 
R = [-1 -1 -2], i = 6, j=9 :: H(i,j,R)= -0.0182-0.0006j 
R = [-1 -1 -2], i = 6, j=10 :: H(i,j,R)= 0.0164-0.0007j 
R = [-1 -1 -2], i = 6, j=11 :: H(i,j,R)= -0.0151+0.0040j 
R = [-1 -1 -2], i = 6, j=12 :: H(i,j,R)= 0.0068-0.0067j 
R = [-1 -1 -2], i = 6, j=13 :: H(i,j,R)= -0.0054+0.0040j 
R = [-1 -1 -2], i = 6, j=14 :: H(i,j,R)= 0.0027-0.0047j 
R = [-1 -1 -2], i = 6, j=15 :: H(i,j,R)= 0.0001+0.0019j 
R = [-1 -1 -2], i = 7, j=0 :: H(i,j,R)= 0.0080-0.0051j 
R = [-1 -1 -2], i = 7, j=1 :: H(i,j,R)= -0.0199-0.0040j 
R = [-1 -1 -2], i = 7, j=2 :: H(i,j,R)= 0.0467-0.0049j 
R = [-1 -1 -2], i = 7, j=3 :: H(i,j,R)= -0.0429+0.0062j 
R = [-1 -1 -2], i = 7, j=4 :: H(i,j,R)= -0.0010+0.0086j 
R = [-1 -1 -2], i = 7, j=5 :: H(i,j,R)= -0.0029+0.0093j 
R = [-1 -1 -2], i = 7, j=6 :: H(i,j,R)= -0.0124-0.0029j 
